_score,id,title,date_start,date_end,medium_display,artist_title,place_of_origin
3.0000107,263123,Still Life in the Windy City,2021,2021,Handscroll; Inkjet print on paper,Drawing Architecture Studio,China
3.0000107,273358,"Reggio School, Vertical Stacking (Ecosystem of Architectural Traditions)",2022,2022,Digital print on white wove paper,Andres Jaque,Spain
3.0000107,273359,"Reggio School, Water Reclamation and Transspecies Reparation Nodes",2022,2022,Digital print on white wove paper,Andres Jaque,Spain
3.0000107,273360,"Reggio School, From Earth to Air (Section Plan)",2022,2022,Digital print on white wove paper,Andres Jaque,Spain
3.0000107,273361,"Reggio School, Floor Plans",2022,2022,Digital print on white wove paper,Andres Jaque,Spain
3.0000107,273362,"Rambla Climate-House, Earth Reparation as a Relational Architectural Project",2021,2021,Digital print on white wove paper,Andres Jaque,Spain
3.0000107,273524,"""Three Body Problem"" painting from the Tesseract Study 21-B-3",2021,2021,Oil on canvas,Michiko Itatani,Japan
3.0000107,273579,Identity Column III,2024,2024,"Fiber, synthetic hair, and accessories",Germane Barnes,United States
3.0000107,273689,Returning With Something,2022,2022,"Chess-Computer Objects from VEB Funkwerk Erfurt, shoes from Schuhfrabik ""Roter Stern"" Burg, magazine printed VEB-Interduck Leipzig, stainless steel, suitcase fixings, fabric",Sung Tieu,Germany
3.0000107,273705,Explicit Yellow Tape (Cinta amarilla explicita),2021,2021,Color screenprint on ivory wove paper,Beatriz González,Colombia
3.0000107,273706,Diffuse Yellow Tape (Cinta amarilla difusa),2021,2021,Color screenprint on ivory wove paper,Beatriz González,Colombia
3.0000107,273707,Auras on Paper (Auras en papel),2021,2021,Screenprint in black on ivory wove paper,Beatriz González,Colombia
3.0000107,273772,Mysterious Illusion of KAINOSHO,2023,2024,Inkjet print,Yasumasa Morimura,
3.0000107,273970,"A Throne of No Return, A Chair for Us All",2022,2022,"Maple, ash, hickory, paper cord, milk paint",Robell Awake,United States
3.0000107,273971,Conjure Memory - Things Fall Apart,2024,2024,"Maple, ash, hickory, twaf (Ethiopian Orthodox religious candles), found mirror fragments, cut nail, Crown Royal bag, milk paint",Robell Awake,United States
3.0000107,273990,Contemporary Chief Set (Three Miniatures),2024,2024,"Wool; dovetail tapestry weave; extended selvage cord fringe. Warp: hand carded wool and mohair; weft: commercially processed, aniline dyed merino wool, respun by the artist; approximately 14 warps/inch and 112 wefts/inch.",Barbara Teller Ornelas,Two Grey Hills
3.0000107,274084,Study For Helen,2021,2021,Watercolor over graphite on white wove paper,Judy Ledgerwood,United States
3.0000107,274085,Study for Wilhelmina,2021,2021,Watercolor over graphite on white wove paper,Judy Ledgerwood,United States
3.0000107,274086,Study for Wilhelmina #2,2021,2021,Watercolor over graphite on white wove paper,Judy Ledgerwood,United States
3.0000107,274212,Marvelseal Work,2020,2021,"96 elements; sculptures, drawings, and photographs dated 1984 through 2013, packing materials, and Marvelseal",Margaret Honda,United States
3.0000107,274229,Jar with Tumbling Hummingbirds,2021,2021,Earthenware and slip,Rainy Naha,Polacca
3.0000107,274235,Shifting Sand Bowl,2022,2022,Stoneware with silver,Preston Duwyenie,"Pueblo of Santa Clara, New Mexico"
3.0000107,274239,Seed Pot,1959,2023,Earthenware and slip,Diane Lewis,
3.0000107,274240,Seed Pot,2024,2024,Earthenware and slip,Diane Lewis,
3.0000107,274276,Spoon,2022,2022,Amboyna burl,Norm Sartorius,Parkersburg
3.0000107,278542,The Statues,2024,2024,Acrylic and spray paint on linen,Mohammed Sami,Iraq
3.0000107,279018,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [1]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279019,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [2]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279020,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [3]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279021,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [4]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279022,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [5]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279023,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [6]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279024,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [7]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279025,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [8]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279026,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [9]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279027,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [10]",2024,2024,Gelatin silver print,Walead Beshty,
3.0000107,279028,"3300 Block to 4400 Block, Union Pacific Avenue, between South Grande Vista Avenue and South Marianna Avenue, Los Angeles/Commerce, California, December 2020 [11]",2024,2024,Gelatin silver print,Walead Beshty,
